============================= test session starts ==============================
platform darwin -- Python 3.12.11, pytest-9.1.1, pluggy-1.6.0 -- /Users/chiru/conductor/workspaces/chiru-os/provo/tmp/arcnet/.venv/bin/python
rootdir: /Users/chiru/conductor/workspaces/chiru-os/provo/tmp/arcnet/server
configfile: pyproject.toml
plugins: anyio-4.14.2, jaxtyping-0.2.38, typeguard-2.13.3
server/tests/test_api_coherence.py::ApiCoherenceTests::test_write_ingest_roundtrip PASSED [ 10%]
server/tests/test_case_file.py::CaseFileTests::test_agent_view_dispatch PASSED [ 10%]
server/tests/test_case_file.py::CaseFileTests::test_case_file_bundle PASSED [ 10%]
server/tests/test_case_file.py::CaseFileTests::test_incident_envelope_shape PASSED [ 11%]
server/tests/test_concurrency.py::DbConcurrencyTests::test_concurrent_writers_succeed PASSED [ 11%]
server/tests/test_concurrency.py::DbConcurrencyTests::test_wal_and_busy_timeout_enabled PASSED [ 12%]
server/tests/test_concurrency.py::EventBusConcurrencyTests::test_connect_disconnect_no_subscriber_leak PASSED [ 12%]
server/tests/test_concurrency.py::EventBusConcurrencyTests::test_drop_oldest_not_newest_on_full_queue PASSED [ 13%]
server/tests/test_concurrency.py::EventBusConcurrencyTests::test_many_subscribers_receive_all_events PASSED [ 13%]
server/tests/test_concurrency.py::EventBusConcurrencyTests::test_unsubscribe_during_publish_does_not_crash PASSED [ 14%]
server/tests/test_concurrency.py::GriffinCacheConcurrencyTests::test_cache_snapshot_always_well_formed_under_contention PASSED [ 14%]
server/tests/test_concurrency.py::ReplayConcurrencyTests::test_parallel_replays_do_not_cross_contaminate_verdicts PASSED [ 15%]
server/tests/test_concurrency.py::GracefulShutdownTests::test_lifespan_cancels_griffin_and_degrades_tabfm PASSED [ 15%]
server/tests/test_concurrency.py::GlobalBusIntegrationTests::test_bus_publish_from_worker_thread PASSED [ 15%]
server/tests/test_griffin_cold_soak.py::GriffinColdSoakTests::test_multi_cycle_proxy_never_writes_seed PASSED [ 16%]
server/tests/test_griffin_cold_soak.py::GriffinColdSoakTests::test_soak_script_passes_without_seed PASSED [ 16%]
server/tests/test_hitl_api.py::HitlApiTests::test_create_list_decide_status_flips PASSED [ 17%]
server/tests/test_hitl_api.py::HitlApiTests::test_decide_invalid_returns_400 PASSED [ 17%]
server/tests/test_hq_agent.py::AgentVersionRegistryTests::test_apply_model_duplicate_version_id_is_atomic PASSED [ 18%]
server/tests/test_hq_agent.py::AgentVersionRegistryTests::test_apply_model_rejects_cross_agent_session_and_proposal PASSED [ 18%]
server/tests/test_hq_agent.py::AgentVersionRegistryTests::test_apply_model_requires_confirm PASSED [ 19%]
server/tests/test_hq_agent.py::AgentVersionRegistryTests::test_create_list_timeline PASSED [ 19%]
server/tests/test_hq_agent.py::AgentVersionRegistryTests::test_create_requires_version PASSED [ 20%]
server/tests/test_hq_agent.py::AgentVersionRegistryTests::test_register_pins_session_agent_version PASSED [ 20%]
server/tests/test_hq_agent.py::HqToolsTests::test_apply_and_case_file_tools PASSED [ 21%]
server/tests/test_hq_agent.py::HqToolsTests::test_griffin_anomalies_labels_mad PASSED [ 21%]
server/tests/test_hq_agent.py::HqToolsTests::test_list_proposals_survives_newer_noise PASSED [ 21%]
server/tests/test_hq_agent.py::HqToolsTests::test_recommend_models_local PASSED [ 22%]
server/tests/test_hq_agent.py::HqToolsTests::test_register_propose_via_tools PASSED [ 22%]
server/tests/test_hq_agent.py::HqAgentBuildSmoke::test_recommend_only_no_agent_import PASSED [ 23%]
server/tests/test_hq_tool_error_matrix.py::HqToolErrorMatrixTests::test_agent_signals_error PASSED [ 23%]
server/tests/test_hq_tool_error_matrix.py::HqToolErrorMatrixTests::test_agent_version_timeline_error PASSED [ 24%]
server/tests/test_hq_tool_error_matrix.py::HqToolErrorMatrixTests::test_apply_model_change_http_error PASSED [ 24%]
server/tests/test_hq_tool_error_matrix.py::HqToolErrorMatrixTests::test_apply_model_change_refuses_without_confirm PASSED [ 25%]
server/tests/test_hq_tool_error_matrix.py::HqToolErrorMatrixTests::test_case_file_view_error PASSED [ 25%]
server/tests/test_hq_tool_error_matrix.py::HqToolErrorMatrixTests::test_fleet_overview_error PASSED [ 26%]
server/tests/test_hq_tool_error_matrix.py::HqToolErrorMatrixTests::test_get_4xx PASSED [ 26%]
server/tests/test_hq_tool_error_matrix.py::HqToolErrorMatrixTests::test_get_5xx PASSED [ 26%]
server/tests/test_hq_tool_error_matrix.py::HqToolErrorMatrixTests::test_get_timeout PASSED [ 27%]
server/tests/test_hq_tool_error_matrix.py::HqToolErrorMatrixTests::test_griffin_anomalies_error PASSED [ 27%]
server/tests/test_hq_tool_error_matrix.py::HqToolErrorMatrixTests::test_list_agent_models_error PASSED [ 28%]
server/tests/test_hq_tool_error_matrix.py::HqToolErrorMatrixTests::test_list_model_proposals_error PASSED [ 28%]
server/tests/test_hq_tool_error_matrix.py::HqToolErrorMatrixTests::test_post_4xx PASSED [ 29%]
server/tests/test_hq_tool_error_matrix.py::HqToolErrorMatrixTests::test_post_5xx PASSED [ 29%]
server/tests/test_hq_tool_error_matrix.py::HqToolErrorMatrixTests::test_post_timeout PASSED [ 30%]
server/tests/test_hq_tool_error_matrix.py::HqToolErrorMatrixTests::test_propose_model_change_error PASSED [ 30%]
server/tests/test_hq_tool_error_matrix.py::HqToolErrorMatrixTests::test_recommend_models_error PASSED [ 31%]
server/tests/test_hq_tool_error_matrix.py::HqToolErrorMatrixTests::test_register_agent_version_error PASSED [ 31%]
server/tests/test_hq_tool_error_matrix.py::HqToolErrorMatrixTests::test_replay_compare_error PASSED [ 31%]
server/tests/test_hq_tool_error_matrix.py::HqToolErrorMatrixTests::test_session_check_error PASSED [ 32%]
server/tests/test_hq_tool_error_matrix.py::HqToolErrorMatrixTests::test_signoz_evidence_http_error PASSED [ 32%]
server/tests/test_hq_tool_error_matrix.py::HqToolErrorMatrixTests::test_signoz_evidence_missing_id PASSED [ 33%]
server/tests/test_hq_tool_error_matrix.py::HqToolErrorMatrixTests::test_signoz_status_error PASSED [ 33%]
server/tests/test_hq_tool_error_matrix.py::EvidenceRefsContractTests::test_propose_always_includes_evidence_refs PASSED [ 34%]
server/tests/test_hq_tool_error_matrix.py::EvidenceRefsContractTests::test_propose_with_refs PASSED [ 34%]
server/tests/test_hq_tool_error_matrix.py::EvidenceRefsContractTests::test_recommend_rows_carry_evidence_refs PASSED [ 35%]
server/tests/test_hq_tool_error_matrix.py::EvidenceRefsContractTests::test_recommend_unknown_task_has_empty_reason PASSED [ 35%]
server/tests/test_model_intelligence.py::CatalogIntegrityTests::test_catalog_shape PASSED [ 36%]
server/tests/test_model_intelligence.py::CatalogIntegrityTests::test_project_cost_math PASSED [ 36%]
server/tests/test_model_intelligence.py::ProjectionApiTests::test_models_endpoint_projections PASSED [ 36%]
server/tests/test_model_intelligence.py::ProjectionApiTests::test_no_reasoning_when_clean PASSED [ 37%]
server/tests/test_phase3_evidence.py::QueryRangeGoldenFixtureTests::test_evidence_endpoint_uses_extractor_on_fixture_shape PASSED [ 37%]
server/tests/test_phase3_evidence.py::QueryRangeGoldenFixtureTests::test_mixed_fixture_keeps_span_like_only PASSED [ 38%]
server/tests/test_phase3_evidence.py::QueryRangeGoldenFixtureTests::test_non_span_metrics_fixture_yields_no_spans PASSED [ 38%]
server/tests/test_phase3_evidence.py::QueryRangeGoldenFixtureTests::test_span_like_fixture_extracts_real_spans PASSED [ 39%]
server/tests/test_phase3_evidence.py::SignozDashboardUuidDistinctTests::test_env_overrides_are_distinct PASSED [ 39%]
server/tests/test_phase3_evidence.py::SignozDashboardUuidDistinctTests::test_list_api_fills_distinct_titles PASSED [ 40%]
server/tests/test_phase3_evidence.py::McpHangPrefersHttpHintsTests::test_agent_view_hints_name_http_before_mcp PASSED [ 40%]
server/tests/test_phase4_live_ops.py::Phase4LiveOpsTests::test_apply_probe_match_after_reload PASSED [ 41%]
server/tests/test_phase4_live_ops.py::Phase4LiveOpsTests::test_apply_probe_mismatch_when_reachable PASSED [ 41%]
server/tests/test_phase4_live_ops.py::Phase4LiveOpsTests::test_apply_probe_skipped_without_url PASSED [ 42%]
server/tests/test_phase4_live_ops.py::Phase4LiveOpsTests::test_session_filters_agent_version_and_version_id PASSED [ 42%]
server/tests/test_phase4_live_ops.py::Phase4LiveOpsTests::test_signals_total_exceeds_page PASSED [ 42%]
server/tests/test_phase4_live_ops.py::Phase4LiveOpsScriptTests::test_live_ops_dry_run_script_exits_zero PASSED [ 43%]
server/tests/test_product_rework_api.py::ProductReworkApiTests::test_agent_models_cascade PASSED [ 43%]
server/tests/test_product_rework_api.py::ProductReworkApiTests::test_agent_view_session_check PASSED [ 44%]
server/tests/test_product_rework_api.py::ProductReworkApiTests::test_agent_view_signals PASSED [ 44%]
server/tests/test_product_rework_api.py::ProductReworkApiTests::test_sessions_model_filter PASSED [ 45%]
server/tests/test_product_rework_api.py::ProductReworkApiTests::test_sessions_pagination_headers PASSED [ 45%]
server/tests/test_product_rework_api.py::ProductReworkApiTests::test_signals_pagination_and_agent_filter PASSED [ 46%]
server/tests/test_r2_r3_surface.py::HqClientTests::test_sdk_check_and_signals_via_http PASSED [ 46%]
server/tests/test_r2_r3_surface.py::ModelExploreTests::test_catalog_snapshot_no_network PASSED [ 47%]
server/tests/test_r2_r3_surface.py::ModelExploreTests::test_list_and_recommend PASSED [ 47%]
server/tests/test_r2_r3_surface.py::SignozDashboardMapTests::test_env_dashboard_ids_on_status PASSED [ 47%]
server/tests/test_r2_r3_surface.py::SignozDashboardMapTests::test_title_resolve_fills_missing PASSED [ 48%]
server/tests/test_read_models.py::ReadModelTests::test_agent_fleet_wraps_human_rows PASSED [ 48%]
server/tests/test_read_models.py::ReadModelTests::test_case_file_is_bounded PASSED [ 49%]
server/tests/test_read_models.py::ReadModelTests::test_excerpt_bounds_incident_and_signals PASSED [ 49%]
server/tests/test_read_models.py::ReadModelTests::test_full_transcript_hatch_is_intentional_pointer PASSED [ 50%]
server/tests/test_read_models.py::ReadModelTests::test_human_session_excludes_transcript_by_default PASSED [ 50%]
server/tests/test_read_models.py::ReadModelTests::test_projections_share_records_but_differ PASSED [ 51%]
server/tests/test_read_models.py::ContractTests::test_deterministic_ordering_tiebreak PASSED [ 51%]
server/tests/test_read_models.py::ContractTests::test_empty_db_shapes PASSED [ 52%]
server/tests/test_read_models.py::ContractTests::test_limit_validation PASSED [ 52%]
server/tests/test_read_models.py::ContractTests::test_missing_ids_are_404 PASSED [ 52%]
server/tests/test_read_models.py::ContractTests::test_replay_validation PASSED [ 53%]
server/tests/test_read_models.py::ContractTests::test_signal_attribution_matches_sse_rule PASSED [ 53%]
server/tests/test_redteam_api.py::RedTeamApiTests::test_agent_view_echoes_goal_bounded PASSED [ 54%]
server/tests/test_redteam_api.py::RedTeamApiTests::test_agent_view_unknown_view_is_404 PASSED [ 54%]
server/tests/test_redteam_api.py::RedTeamApiTests::test_apply_model_gated_by_write_secret PASSED [ 55%]
server/tests/test_redteam_api.py::RedTeamApiTests::test_case_file_export_bounded PASSED [ 55%]
server/tests/test_redteam_api.py::RedTeamApiTests::test_deeply_nested_json_does_not_500 PASSED [ 56%]
server/tests/test_redteam_api.py::RedTeamApiTests::test_duplicate_query_params_last_wins PASSED [ 56%]
server/tests/test_redteam_api.py::RedTeamApiTests::test_json_array_body_returns_400_not_500 PASSED [ 57%]
server/tests/test_redteam_api.py::RedTeamApiTests::test_missing_content_type_still_parses_json PASSED [ 57%]
server/tests/test_redteam_api.py::RedTeamApiTests::test_missing_required_fields_return_400 PASSED [ 57%]
server/tests/test_redteam_api.py::RedTeamApiTests::test_no_partial_write_on_secret_failure PASSED [ 58%]
server/tests/test_redteam_api.py::RedTeamApiTests::test_non_json_body_returns_400_not_500 PASSED [ 58%]
server/tests/test_redteam_api.py::RedTeamApiTests::test_null_json_body_returns_400_not_500 PASSED [ 59%]
server/tests/test_redteam_api.py::RedTeamApiTests::test_oversized_evidence_rejected_on_write PASSED [ 59%]
server/tests/test_redteam_api.py::RedTeamApiTests::test_oversized_hitl_payload_rejected PASSED [ 60%]
server/tests/test_redteam_api.py::RedTeamApiTests::test_oversized_transcript_rejected_on_write PASSED [ 60%]
server/tests/test_redteam_api.py::RedTeamApiTests::test_pagination_abuse_returns_422 PASSED [ 61%]
server/tests/test_redteam_api.py::RedTeamApiTests::test_pagination_valid_clamps_headers PASSED [ 61%]
server/tests/test_redteam_api.py::RedTeamApiTests::test_session_path_injection_returns_404_not_500 PASSED [ 62%]
server/tests/test_redteam_api.py::RedTeamApiTests::test_sql_meta_in_query_params_is_safe PASSED [ 62%]
server/tests/test_redteam_api.py::RedTeamApiTests::test_write_secret_bearer_and_header_both_work PASSED [ 63%]
server/tests/test_redteam_api.py::RedTeamApiTests::test_write_secret_blocks_all_mutating_ingest_routes PASSED [ 63%]
server/tests/test_redteam_api.py::RedTeamApiTests::test_wrong_charset_still_parses_utf8_json PASSED [ 63%]
server/tests/test_redteam_api.py::RedTeamApiTests::test_wrong_type_fields_return_4xx PASSED [ 64%]
server/tests/test_replay_hardening.py::JsonBaselineHardeningTests::test_malformed_outcome_does_not_crash_baseline PASSED [ 64%]
server/tests/test_replay_hardening.py::JsonBaselineHardeningTests::test_malformed_transcript_json_string_parses_to_empty_dict PASSED [ 65%]
server/tests/test_replay_hardening.py::JsonBaselineHardeningTests::test_non_numeric_outcome_fields_coerce_to_zero PASSED [ 65%]
server/tests/test_replay_hardening.py::ExecuteReplayHardeningTests::test_agentos_list_response_raises_value_error PASSED [ 66%]
server/tests/test_replay_hardening.py::ExecuteReplayHardeningTests::test_agentos_null_response_raises_value_error PASSED [ 66%]
server/tests/test_replay_hardening.py::ExecuteReplayHardeningTests::test_agentos_second_run_500_propagates_without_verdict PASSED [ 67%]
server/tests/test_replay_hardening.py::ExecuteReplayHardeningTests::test_malformed_transcript_raises_clean_value_error PASSED [ 67%]
server/tests/test_replay_hardening.py::BuildVerdictHardeningTests::test_empty_run_dicts_produce_valid_verdict PASSED [ 68%]
server/tests/test_replay_hardening.py::BuildVerdictHardeningTests::test_identical_all_fail_runs_are_inconclusive PASSED [ 68%]
server/tests/test_replay_hardening.py::BuildVerdictHardeningTests::test_identical_all_fail_vs_partial_baseline_is_regressed PASSED [ 68%]
server/tests/test_replay_hardening.py::BuildVerdictHardeningTests::test_non_list_divergences_coerced_to_empty_list PASSED [ 69%]
server/tests/test_replay_hardening.py::BuildVerdictHardeningTests::test_threat_runs_all_resisted_stay_stable PASSED [ 69%]
server/tests/test_replay_service.py::VerdictTests::test_behavioral_disagreement_is_inconclusive PASSED [ 70%]
server/tests/test_replay_service.py::VerdictTests::test_fast_failure_is_not_an_improvement PASSED [ 70%]
server/tests/test_replay_service.py::VerdictTests::test_stable_improvement PASSED [ 71%]
server/tests/test_replay_service.py::VerdictTests::test_threat_goal_wobble_stays_conclusive_when_security_stable PASSED [ 71%]
server/tests/test_robustness_pass.py::RobustnessPassTests::test_check_includes_version_pinpoint PASSED [ 72%]
server/tests/test_robustness_pass.py::RobustnessPassTests::test_dashboards_agent_view_exists PASSED [ 72%]
server/tests/test_robustness_pass.py::RobustnessPassTests::test_recommend_live_failure_falls_back_to_snapshot PASSED [ 73%]
server/tests/test_robustness_pass.py::RobustnessPassTests::test_recommend_live_false_stays_snapshot PASSED [ 73%]
server/tests/test_robustness_pass.py::RobustnessPassTests::test_sessions_list_includes_agent_version PASSED [ 73%]
server/tests/test_robustness_pass.py::RobustnessPassTests::test_sources_agent_view_is_bounded PASSED [ 74%]
server/tests/test_tabfm_griffin.py::TabfmGriffinTests::test_disabled_by_default_status_mad PASSED [ 74%]
server/tests/test_tabfm_griffin.py::TabfmGriffinTests::test_exception_degrades_to_mad PASSED [ 75%]
server/tests/test_tabfm_griffin.py::TabfmGriffinTests::test_forecast_error_degrades_to_mad PASSED [ 75%]
server/tests/test_tabfm_griffin.py::TabfmGriffinTests::test_no_tabfm_package_import_when_disabled PASSED [ 76%]
server/tests/test_tabfm_griffin.py::TabfmGriffinTests::test_status_endpoint_tabfm_fields PASSED [ 76%]
server/tests/test_tabfm_griffin.py::TabfmGriffinTests::test_worker_success_flips_estimator_honestly PASSED [ 77%]
server/tests/test_tabfm_worker_stub.py::TabfmWorkerStubTests::test_empty_history PASSED [ 77%]
server/tests/test_tabfm_worker_stub.py::TabfmWorkerStubTests::test_forecast_default_is_mad_fallback PASSED [ 78%]
server/tests/test_tabfm_worker_stub.py::TabfmWorkerStubTests::test_mad_fallback_ready_on_warm_series PASSED [ 78%]
server/tests/test_tabfm_worker_stub.py::TabfmWorkerStubTests::test_tabfm_backend_unavailable_without_weights 
